Number	Label	Label V2.x	Text	Text2	Text3	Text4	Text5	Text6	Text7	Text8	Text9	Text10	Text11	Text12	Text13	Text14	Text15	Text16	Text17	Text18	Text19	Text20	Text23	Text24	Text25	Text27	Full description																										
1	DESPC	READNP	275	1923	753	747	550	2270	880	708	248	119	151	773	105	640	1236	622	806	326	91	16	729	2022	256	708	Paragraph count, number of paragraphs
2	DESSC	READNS	1021	2360	1784	1210	1886	3576	2498	1760	830	1999	629	2045	1808	1393	2623	1454	1849	1619	2223	76	1972	2587	1046	1760	Sentence count, number of sentences
3	DESWC	READNW	14739	14615	25411	20464	24849	24463	30291	26861	12951	29135	10545	17477	24226	16993	21805	20746	24149	21901	27422	2163	24273	17264	23482	26861	Word count, number of words
4	DESPL	READAPL	3.713	1.227	2.369	1.620	3.429	1.575	2.839	2.486	3.347	16.798	4.166	2.646	17.219	2.177	2.122	2.338	2.294	4.966	24.429	4.75	2.705	1.279	4.086	2.486	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	2.297	0.724	1.708	1.380	2.373	1.310	2.229	1.645	4.597	23.373	3.232	2.200	25.926	2.023	1.504	2.385	2.450	3.370	35.657	2.324	2.133	0.705	3.044	1.645	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	14.436	6.193	14.244	16.912	13.176	6.841	12.126	15.262	15.604	14.575	16.765	8.546	13.399	12.199	8.313	14.268	13.061	13.527	12.336	28.461	12.309	6.673	22.449	15.262	Sentence length, number of words, mean
7	DESSLd	n/a	10.343	6.655	14.419	19.655	8.454	6.836	9.977	15.376	11.561	19.982	13.904	6.663	16.100	12.233	11.768	14.685	14.498	10.302	13.966	26.704	9.918	4.360	17.088	15.376	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.323	1.308	1.347	1.418	1.307	1.388	1.438	1.419	1.624	1.340	1.559	1.577	1.328	1.402	1.530	1.429	1.402	1.327	1.362	1.301	1.331	1.301	1.433	1.419	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.647	0.643	0.688	0.822	0.625	0.753	0.833	0.786	0.988	0.707	0.970	0.966	0.692	0.732	0.925	0.846	0.793	0.633	0.749	0.600	0.684	0.624	0.815	0.786	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.183	4.109	4.167	4.392	4.087	4.037	4.467	4.545	4.871	4.233	4.670	4.696	4.251	4.497	4.688	4.366	4.353	4.165	4.172	4.180	4.188	4.096	4.536	4.545	Word length, number of letters, mean
