Number	Label	Label V2.x	Text	Text2	Text3	Text4	Text	Text6	Text7	Text8	Text9	Text10	Text11	Text12	Text13	Text14	Text15	Text16	Text17	Text18	Text19	Text20	Text21	Text22	Text23	Text24	Text25	Text26	Text27	Text28	Text29	Text30	Text31	Text32	Full description																																		
1	DESPC	READNP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Paragraph count, number of paragraphs
2	DESSC	READNS	1012	1529	1152	1547	2041	1916	3678	2520	1816	2431	1507	818	2253	2647	628	2787	2015	2139	3085	2308	1590	1592	2595	2271	83	3106	943	1748	1966	1024	1341	1816	Sentence count, number of sentences
3	DESWC	READNW	15527	38403	12099	26721	22053	26281	25377	32085	28842	38225	39433	13438	30291	38877	11309	19125	25240	18317	23100	22356	14903	23251	28456	38676	2163	25952	30630	25645	17593	25060	20917	28842	Word count, number of words
4	DESPL	READAPL	1012	1529	1152	1547	2041	1916	3678	2520	1816	2431	1507	818	2253	2647	628	2787	2015	2139	3085	2308	1590	1592	2595	2271	83	3106	943	1748	1966	1024	1341	1816	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	15.343	25.116	10.503	17.273	10.805	13.717	6.900	12.732	15.882	15.724	26.167	16.428	13.445	14.687	18.008	6.862	12.526	8.563	7.488	9.686	9.373	14.605	10.966	17.030	26.060	8.355	32.481	14.671	8.949	24.473	15.598	15.882	Sentence length, number of words, mean
7	DESSLd	n/a	10.795	13.208	7.819	16.645	16.094	8.268	7.019	10.463	15.448	11.287	22.031	13.375	16.605	12.671	14.248	6.954	14.698	10.293	12.234	11.395	10.586	10.931	11.726	12.723	26.767	9.304	23.075	11.398	11.983	18.217	16.867	15.448	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.252	1.258	1.260	1.281	1.301	1.236	1.334	1.355	1.316	1.380	1.653	1.564	1.281	1.366	1.451	1.441	1.268	1.298	1.440	1.319	1.308	1.246	1.305	1.334	1.301	1.291	1.399	1.262	1.281	1.342	1.274	1.316	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.526	0.557	0.570	0.577	0.610	0.515	0.667	0.703	0.629	0.734	0.993	0.900	0.608	0.719	0.810	0.772	0.587	0.576	0.811	0.657	0.628	0.501	0.641	0.619	0.600	0.604	0.666	0.572	0.595	0.674	0.615	0.629	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	3.970	3.936	3.926	3.966	4.029	3.861	3.885	4.215	4.229	4.167	4.947	4.685	4.061	4.221	4.349	4.248	4.073	4.126	4.398	4.009	4.070	3.918	4.009	4.198	4.177	3.997	4.543	3.968	4.039	4.256	3.902	4.229	Word length, number of letters, mean
11	DESWLltd	n/a	1.894	1.974	2.066	2.009	2.085	1.773	2.120	2.329	2.212	2.414	2.856	2.734	2.078	2.367	2.531	2.423	2.041	2.034	2.521	2.048	2.069	1.832	2.065	2.151	2.213	1.986	2.290	1.986	2.069	2.258	1.998	2.212	Word length, number of letters, standard deviation																																		
12	PCNARz	n/a	1.198	1.110	1.366	1.290	1.003	1.383	1.798	1.018	0.75	0.972	-0.625	-0.550	0.777	0.717	0.532	0.672	0.797	0.405	0.538	0.809	0.581	1.078	1.116	0.849	0.251	0.528	0.315	0.990	0.549	0.067	1.075	0.75	Text Easability PC Narrativity, z score
13	PCNARp	n/a	88.300	86.430	91.310	89.970	84.130	91.620	96.330	84.380	77.040	83.400	26.760	29.120	77.940	76.110	70.190	74.860	78.520	65.540	70.190	78.810	71.900	85.770	86.650	79.950	59.870	69.850	62.170	83.650	70.540	52.390	85.770	77.040	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.844	-0.197	1.154	0.177	1.382	0.911	1.841	1.083	0.526	0.519	-0.414	0.800	0.582	0.550	0.277	1.614	0.802	1.487	2.102	1.217	1.523	0.844	0.959	0.599	-0.672	1.661	-1.134	0.470	1.143	-0.502	0.394	0.525	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	79.950	42.470	87.490	56.75	91.620	81.860	96.710	85.990	69.850	69.5	34.090	78.810	71.900	70.540	60.640	94.630	78.810	93.060	98.210	88.690	93.570	79.950	82.890	72.240	25.140	95.150	12.920	67.720	87.290	30.850	65.170	69.850	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	0.028	0.848	-0.755	-0.378	-1.377	0.561	-2.376	-0.341	0.041	-0.329	-0.698	-1.326	-1.009	-0.518	-1.060	-2.098	-1.175	-0.722	-1.472	-1.219	-0.710	-0.191	-1.881	0.201	1.717	-0.589	1.677	0.754	-0.896	1.233	-1.603	0.041	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	50.800	79.950	22.660	35.570	8.530	71.230	0.890	36.690	51.600	37.070	24.510	9.340	15.870	30.5	14.460	1.830	12.100	23.580	7.080	11.310	23.890	42.470	3.010	57.930	95.640	27.760	95.25	77.340	18.670	89.070	5.480	51.600	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	0.283	0.345	0.269	-0.164	-1.188	0.243	-0.452	-0.825	-0.628	-0.721	-0.499	-0.923	-1.270	-0.904	-0.343	-1.172	-1.516	-1.757	-1.401	-1.350	-1.417	-0.114	-1.263	-0.466	-1.841	-1.398	0.478	-0.401	-2.188	-0.858	-0.851	-0.622	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	61.030	63.310	60.260	43.640	11.900	59.480	32.640	20.610	26.760	23.580	31.210	17.880	10.200	18.410	36.690	12.100	6.550	4.010	8.080	8.850	7.930	45.620	10.380	32.280	3.290	8.230	68.080	34.460	1.460	19.770	19.770	26.760	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.712	0.827	-0.133	0.534	0.829	0.592	0.093	0.276	0.243	0.174	0.060	0.944	0.655	0.079	0.298	-0.333	0.219	0.321	0.244	0.743	0.782	0.759	0.556	0.699	0.682	0.690	-0.595	0.559	0.574	0.028	0.734	0.240	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	76.110	79.390	44.830	70.190	79.390	72.240	53.590	60.640	59.480	56.75	52.390	82.640	74.220	52.790	61.410	37.070	58.320	62.550	59.480	77.040	78.230	77.340	70.880	75.490	75.170	75.170	27.760	70.880	71.570	50.800	76.730	59.100	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.594	-0.491	-0.708	0.030	-1.043	0.445	-0.896	-0.218	0.067	-0.056	0.175	0.471	-1.423	-0.042	0.404	-0.076	-1.515	-1.328	-1.347	-0.646	-1.428	-0.165	-1.177	-0.480	-0.975	-1.392	-0.921	0.736	-1.650	0.175	-1.141	0.072	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	27.760	31.210	24.200	51.200	14.920	67	18.670	41.680	52.390	48.010	56.75	68.080	7.780	48.400	65.540	47.210	6.550	9.340	9.010	26.110	7.780	43.640	12.100	31.560	16.600	8.230	17.880	76.730	4.950	56.75	12.710	52.790	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.403	-3.347	-2.047	-2.659	-2.339	-3.362	-0.670	-2.944	-2.848	-3.187	-1.412	-2.674	-2.160	-1.837	-2.631	-1.041	-1.537	-2.593	-1.967	-2.115	-2.685	-2.406	-2.069	-3.145	-3.860	-2.303	-2.112	-3.074	-2.242	-2.955	-1.853	-2.846	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	0.820	0.040	2.070	0.400	0.990	0.040	25.140	0.160	0.230	0.070	7.930	0.380	1.540	3.360	0.430	14.920	6.300	0.480	2.5	1.740	0.370	0.820	1.920	0.080	0	1.070	1.740	0.110	1.25	0.160	3.220	0.230	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	0.014	0.167	0.291	1.175	1.075	0.149	1.005	-0.315	0.247	-0.163	0.579	0.443	0.868	0.269	-0.153	0.954	0.597	1.229	1.244	1.241	1.119	0.095	0.713	0.270	0.698	1.153	0.758	0.541	1.271	0.358	0.821	0.25	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	50.400	56.360	61.410	87.900	85.770	55.570	84.130	37.830	59.480	43.640	71.570	67	80.510	60.260	44.040	82.890	72.240	88.880	89.25	89.25	86.650	53.590	76.110	60.260	75.490	87.490	77.340	70.540	89.800	63.680	79.390	59.480	Text Easability PC Temporality, percentile																																		
28	CRFNO1	CRFBN1um	0.246	0.310	0.175	0.180	0.050	0.179	0.030	0.071	0.131	0.058	0.313	0.220	0.083	0.048	0.207	0.047	0.070	0.039	0.063	0.075	0.077	0.183	0.069	0.150	0.073	0.089	0.410	0.124	0.045	0.145	0.153	0.131	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.504	0.602	0.425	0.388	0.123	0.495	0.202	0.337	0.363	0.416	0.449	0.304	0.249	0.340	0.525	0.151	0.228	0.120	0.102	0.182	0.182	0.440	0.242	0.386	0.220	0.166	0.632	0.365	0.111	0.395	0.340	0.363	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.294	0.352	0.204	0.218	0.084	0.197	0.040	0.093	0.159	0.091	0.411	0.305	0.131	0.077	0.268	0.063	0.124	0.064	0.087	0.097	0.126	0.224	0.108	0.184	0.146	0.126	0.476	0.157	0.064	0.208	0.217	0.159	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.243	0.136	0.199	0.175	0.069	0.139	0.054	0.049	0.111	0.037	0.214	0.096	0.121	0.035	0.109	0.061	0.089	0.050	0.085	0.073	0.055	0.168	0.083	0.142	0.117	0.076	0.305	0.116	0.046	0.109	0.140	0.111	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.460	0.442	0.397	0.372	0.171	0.386	0.227	0.260	0.301	0.362	0.336	0.161	0.253	0.283	0.372	0.165	0.214	0.115	0.136	0.179	0.145	0.382	0.222	0.333	0.244	0.152	0.501	0.296	0.119	0.313	0.308	0.301	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.277	0.165	0.226	0.212	0.098	0.154	0.063	0.066	0.132	0.057	0.294	0.160	0.155	0.057	0.145	0.075	0.138	0.074	0.107	0.093	0.085	0.197	0.125	0.170	0.173	0.105	0.363	0.150	0.070	0.169	0.200	0.132	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.118	0.106	0.118	0.083	0.036	0.115	0.060	0.079	0.084	0.081	0.067	0.108	0.053	0.070	0.122	0.048	0.049	0.035	0.029	0.049	0.062	0.102	0.057	0.070	0.035	0.052	0.102	0.070	0.024	0.055	0.074	0.084	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.133	0.107	0.156	0.122	0.102	0.134	0.137	0.133	0.140	0.112	0.092	0.213	0.104	0.117	0.140	0.123	0.105	0.112	0.099	0.120	0.137	0.136	0.117	0.103	0.062	0.133	0.112	0.108	0.078	0.076	0.120	0.140	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.103	0.069	0.103	0.078	0.081	0.083	0.090	0.054	0.059	0.066	0.044	0.040	0.059	0.054	0.075	0.068	0.051	0.056	0.070	0.056	0.052	0.079	0.061	0.058	0.027	0.060	0.067	0.057	0.041	0.041	0.064	0.059	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.127	0.089	0.143	0.114	0.221	0.115	0.211	0.104	0.111	0.097	0.075	0.109	0.131	0.097	0.106	0.189	0.123	0.181	0.209	0.158	0.151	0.113	0.143	0.092	0.062	0.175	0.094	0.095	0.150	0.069	0.123	0.111	Content word overlap, all sentences, proportional, standard deviation																															
38	LSASS1	LSAassa	0.171	0.209	0.160	0.145	0.078	0.161	0.078	0.105	0.153	0.098	0.175	0.189	0.102	0.109	0.153	0.070	0.102	0.105	0.065	0.091	0.144	0.146	0.095	0.165	0.086	0.123	0.243	0.122	0.062	0.153	0.141	0.153	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.177	0.173	0.196	0.168	0.169	0.168	0.166	0.154	0.177	0.131	0.146	0.251	0.153	0.141	0.160	0.162	0.163	0.176	0.166	0.175	0.224	0.174	0.158	0.167	0.118	0.198	0.169	0.150	0.153	0.130	0.186	0.177	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.103	0.087	0.085	0.080	0.079	0.060	0.075	0.039	0.079	0.039	0.103	0.050	0.081	0.049	0.058	0.053	0.083	0.091	0.065	0.062	0.085	0.078	0.065	0.092	0.074	0.090	0.150	0.045	0.052	0.080	0.102	0.079	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.150	0.102	0.154	0.123	0.172	0.126	0.186	0.092	0.129	0.089	0.109	0.097	0.140	0.094	0.086	0.159	0.143	0.169	0.183	0.129	0.164	0.147	0.124	0.137	0.112	0.166	0.126	0.106	0.135	0.101	0.147	0.129	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.377	0.340	0.396	0.364	0.426	0.355	0.414	0.299	0.343	0.273	0.322	0.325	0.335	0.290	0.299	0.372	0.332	0.385	0.409	0.316	0.373	0.363	0.302	0.351	0.279	0.365	0.372	0.325	0.308	0.304	0.349	0.343	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.104	0.095	0.142	0.114	0.252	0.103	0.235	0.119	0.128	0.083	0.093	0.182	0.181	0.098	0.095	0.244	0.186	0.225	0.246	0.221	0.213	0.112	0.189	0.102	0.108	0.221	0.103	0.102	0.230	0.088	0.174	0.128	LSA given/new, sentences, standard deviation																																		
